,проблема,ответ-скрипт,какие дальше дествия,,
может ли это кольцо вибрировать при том когда на телефон приходят смс,,"здравствуйте. нет, кольцо не вибрирует, не предназначено для получения уведомлений. Оно только для трекинга показателей здоровья",,,
,,,,,
"здравствуйте, подходит любому телефону??",,да,,,
"здравствуйте, а можно с этим кольцом в баню ?",,"Можно, но не рекомендуем, т.к. из-за перепадов температур возможен быстрый износ аккумулятора и влияние на герметичность корпуса",,,
"Здравствуйте, кольцо считает шаги?",,"Здравствуйте, в наших в кольцах есть функция шагомер. Будем рады видеть вас в числе наших покупателей и в будущем. С уважением, команда MalDina",,,
Как подобрать размер и на какой лучше палец?,размер пальца,"Здравствуйте, Наталья. На каком удобнее будет носить: на среднем, указательном или безымянном, как вам больше нравится, это  индивидуально. сделайте замеры как указано в карточке товара на слайдах или чтоб узнать ваш размер: нужно измерить обхват пальца измерительной лентой или обернуть палец ниткой и измерить длину нитки линейкой. Получившееся число разделить на 3,14. Это ваш российский размер. после выберите нужный размер. Будем рады видеть вас в числе наших покупателей и в будущем. С уважением, команда MalDina",,,
здравствуйте! как называется модель подскажите пожалуйста,,"Здравствуйте, уважаемый покупатель. модель Doziva ring Y-10 Pro. Будем рады видеть вас в числе наших покупателей и в будущем. С уважением, команда MalDina",,,
а что измеряет термометр? на картинке присутствует термометр.,,"Здравствуйте, Елена. измеряет температуру тела. Будем рады видеть вас в числе наших покупателей и в будущем. С уважением, команда MalDina",,,
"а насколько ваши кольца соответствуют размерам более дорогих колец типа Oura, Samsung и т.д.?  насколько я могу доверять вашему размерному ряду?",,Соответствие российским размерам указано в размерной сетке в карточке товара,,,
размер идёт в один с обычными кольцами или как и для большинства умных колец из-за датчиков рекомендуется брать на полразмера-размер больше? примерить в пвз я могу?,,"Анна, здравствуйте. Выпуклости над датчиками нет. Соответствие российским размерам указано в карточке товара. Вы можете померить кольцо на ПВЗ.",,,
"Здравствуйте, есть диктофон ?",,"Здравствуйте, Алина. нет диктофона",,,
сколько держит заряд?,,"Никита, здравствуйте. держит заряд около 10-15 дней . ждем вас за покупками в нашем магазине.

С уважением,
Команда магазина MalDina.",,,
кольцо с NFC?,,нет,,,
А какое приложение скачивать для кольца?,,Doziva ring,,,
здравствуйте. подарили а оно не зарежаеться ? индикатор не горит?,,"Александр. здравствуйте. При зарядке должен гореть (мигать) индикатор красным цветом. Когда заряжено - зеленым. Можно попробовать надеть и подключиться к смартфону. свяжитесь пожалуйста с нашим чатом поддержки, посмотрите номер на инструкции или визитке или напишите нам в чат покупателей на ВБ. попробуем разобраться в причинах. С уважением, команда магазина MalDina",,,
На айфоне кольцо вор ше работать только после зарядки потом не пере подключается . На андроиде регистрирует сон иногда вчера сна как будто не было ?! Какая цель в этом устройстве не ясно оно просто не работает.,,"Может не до конца заряжают, может отключают блютус на ночь. Нужно разрешить приложению работать в фоновом режиме всегда. В настройках телефона. Могут написать в поиске по настройкам ""фоновый режим""",,,
"Нормально ли, что кольцо, когда вышел из прилоежния, отключается? Можно ли сделать так, чтобы не отключалось?",,"Владислав, здравствуйте. Разрешить приложению работать в фоновом режиме. будут вопросы свяжитесь пожалуйста с нашим чатом поддержки, посмотрите номер на инструкции или визитке.  С уважением, команда магазина MalDina",,,
Добрый день! Кольцо глянцевое или матовое?,,"Дарья, здравствуйте. благодарим за вопрос . кольцо матовое. ждем вас за покупками в нашем магазине.

С уважением,
Команда магазина MalDina.",,,
есть ли вибро будильник,,"Дмитрий, здравствуйте. благодарим за вопрос. нет, такой функции нет. все функции раскрыты на слайдах. ничего от вас не утаили.  ждем вас за покупками в нашем магазине.

С уважением,
Команда магазина MalDina.",,,
,,,,,
ОРБИЗЫ,,,,,
Можно артикул на орбизы,,"здравствуйте, уважаемый покупатель. вы можете приобрести у нас орбизы 10 000 шт по артикулу WB: 224881518 и 96 тыс шт. по артикулу WB: 253793079.

ждем вас за покупками в нашем магазине.

обратите внимание! у нас расширение ассортимента. поступление новых премиум автоматов и винтовок)

С уважением,
Команда магазина MalDina.",,,
А сколько они мм,,"здравствуйте, после замачивания (3-4 часа) как вырастут будут 7-8 мм. об этом написано в обложке карточки. а если вы хотите узнать какого они изначально размера, то он приблизительно несколько мм. задавайте еще, интересующие вопросы. мы постараемся вам на них ответить) ждем вас за покупками в нашем магазине. С уважением, Команда магазина MalDina.",,,
"здравствуйте, когда вырасту орбизы , через сколько они станут снова маленькими? и надо ли их потом в воде носить ?",,"Юлия. орбизы высыхают постепенно без воды, лучше их хранить в бутылке с водой, с закрытой крышкой. если орбизы высохли ли уменьшились в размере. просто снова их положите в теплую воду и вырастите до нужного размера перед стрельбой",,,
Здравствуйте) чем растворить орбизы ?) ретенок в раковину засорил 🤪,,"Здравствуйте. В этой ситуации лучше открутить сифон и вытряхнуть орбизы по-максимуму, иначе возможен засор. Также можно воспользоваться специальным средством для очистки труб от засоров.",,,
"Здравствуйте. Что касаемо качества орбизов в комплекте, они экологичные, ",,"Здравствуйте. благодарим вас за вопрос. по поводу экологичности, да они экологичны. это значит, что огни не вредят окружающей среде, усыхаю без воды и становятся по величине как бисеринки. их можно просто подмести и выбросить в мусор.",,,
"если их проглотит человек, либо животное с размером в кошку, безопасно ли это?",," глотать их ни животным ни людям не рекомендуется, тк это может вызвать раздражение и проблемы с пищеварением. поэтому не стоит пользоваться оружием с орбизами малышам до трех лет. ",,,
" Так же, если их держать долго в воде, сутки будут ли они больше 8мм?",,"наши орбизы если держать в воде не вырастут больше заявленного размера, они дорастают до 7-8мм даже если их долго держать в воде . мы наоборот рекомендуем для игр с орбибольным оружием вырастить их до необходимого размера, а остатки, которыми не использовали положить в бутылку с водой и закрутить плотно крышкой. на следующий день продолжить игру",,,
Здравствуйте там есть голосовой помощник?,,"Денис, здравствуйте.  нет голосового помощника это кольцо для отслеживания показателей здоровья и активности",,,
,,,,,
АВТОМАТЫ,,,,,
,ОБЩИЕ ВОПРОСЫ,,,,
,,,,,
Недостатки: С боку была глубокая трещина,,"Денис, здравствуйте. просим проверять товар на ПВЗ, перед тем как забрать его домой и обязательно предупреждать менеждера ПВЗ сделать пометку БРАК, чтоб товар вернулся на наш склад, а не поступил в продажу и снова огорчал покупателей. если видите не докомплект (недобросовестный покупатель вытащил какие-то комплектующие до вас и вернул его не в полном комплекте) или явный брак (как у вас скол или трещину) НЕ ЗАБИРАЙТЕ ТОВАР с ПВЗ домой. мы очень стараемся оказывать качественный сервис и нам невероятно приятно было б читать ваши положительные отзывы с высокими оценками.

С наилучшими пожеланиями, Команда магазина MalDina.",,,
"Почему не проверяете перед отправкой. Это детский товар. Вам, что доставляет удовольствие расстраивать детей.?",,"Здравствуйте. К сожалению, вам попался брак. Приносим свои извинения, такое иногда случается. В случае неисправности аккумулятора мы делаем его бесплатную замену. не проверяем так как большие объемы и складские работнике не успевают, но главное, что они приходят с завода в пленке и мы их не вскрываем, чтоб товар приходил вам невскрытый. Здравствуйте. К сожалению, вам попался брак, абсолютно не кого не хотим расстраивать. Приносим свои искренние извинения, такое иногда случается. В случае неисправности аккумулятора мы делаем его бесплатную замену или забираем подтвержденный брак всегда. не проверяем на нашем складе, так как товар приходят с завода в пленке и мы их не вскрываем, чтоб товар приходил вам невскрытый, чтоб там ничего не выпало при транспортировке и никто не забрал никакие делали, а кражи случаются к сожалению и это тоже совсем не радует покупателей. мы всегда идем на встречу нашим покупателям и хотим чтоб они остались довольны покупкой и нашим сервисов",,,
"причина возврата не указана, другое",,"Евгений, здравствуйте. очень жаль что вы так низко оценили наш автомат с орбизами. Пожалуйста, уточните, что именно вас не устроило? Мы готовы помочь решить вашу проблему. Напишите нам, и мы обязательно разберемся! свяжитесь пожалуйста с нашим чатом поддержки, посмотрите номер на инструкции или визитке или напишите нам в чат покупателей на ВБ. попробуем разобраться в причинах. С уважением, команда магазина MalDina",,,
почему автомат перестал стрелять,,"
Здравствуйте. благодаримвас за обратную связь. проверьте сначала: 1. зарядите акуумулятор 1,5ч. 2. вырастите орбизы до 6-8мм в течении 4 ч. (сделайте это повторно поместите орбизы в воду на 2-3 часа, может орбизы уменьшились). 3. разберите и проверьте отверстия внутри, может орбизы застряли. свяжитесь пожалуйста с нашим чатом поддержки, посмотрите номер на инструкции или визитке или напишите нам в чат покупателей на ВБ. попробуем разобраться в причинах. С уважением, команда магазина MalDina",,,
если будет брак можно будет вернуть без заявки,,"Здравствуйте, вы можете проверить комплектацию на пвз при получении. Если товар забрали с пвз и он неисрпавен - возврат происходит только через заявку по браку.",,,
А товар возврату принадлежит?,,Здравствуйте! Вы можете отказаться от товара при получении на пвз,,,
когда будет продаваться обоима отдельно?,,"Здравствуйте, к сожалению, на данный момент в нашем ассроитменте нет маленькой обоймы",,,
Почему автомат плохо стреляет арбизами?через раз !,,"Здравствуйте. обычно из-за того что не выполняются два основных правила: 1 - не подзарядили аккумулятор хорошо, для этого понадобится 1.5ч (светится значит заряжается, погас огонек - зарядился) и 2 - не дорастили орбизы до необходимой величины 7-8мм, дл этого понадобится 3-4ч. (если недоростили просто положите их в теплую воду на пару часов). Пожалуйста, свяжитесь с нами в чате поддержки по What сап 7 (962) 559-29-48. посмотри что делаете и как. поможем и подскажем. ",,,
скажите как можно носить с собой орбизы чтобы они не высохли?,,"Здравствуйте, уважаемый покупатель. Хранить орбизы нужно в пластиковой бутылке с водой. Приятных вам покупок в нашем магазине. С наилучшими пожеланиями, Команда магазина MalDina.",,,
можно ли засыпать туда пульки 6мм пластиковые?,,"Здравствуйте, уважаемый покупатель. производитель рекомендует использовать орбизы 7-8 мм. меньшие в некоторых моделях могут застревать. в нашем магазине вы можете приобрести орбизы, вырастить их и стрелять свое удовольствие. артикул на ВБ 224881518 или 253793079. играйте и получайте удовольствие. С уважением, Ваш MalDina.",,,
"Здравствуйте, сколько весит упаковка орбизов ?",,"10 000 штук весят 50 гр. (в пакетике) 
96 тысяч около 500гр (в бутылках)",,,
,качество,"Здравствуйте!

Спасибо за ваш отзыв. Нам очень жаль, что автомат с орбизами не оправдал ваших ожиданий.

Мы внимательно относимся к каждому отзыву и хотим разобраться в возникшей ситуации. Пожалуйста, свяжитесь с нами в чате поддержки покупателей по What сап 7 (962) 559-29-48, чтобы мы могли:

Уточнить конкретные проблемы с товаром
Предложить возможные варианты решения
При необходимости организовать замену или возврат
Для нас важно, чтобы каждый покупатель остался доволен покупкой. Будем благодарны, если вы поделитесь деталями вашего опыта использования автомата - это поможет нам улучшить качество товара и сервис.

С уважением,
Команда магазина MalDina.",,,
,не комплект,"Уважаемый покупатель!

Приносим искренние извинения за сложившуюся ситуацию. Мы внимательно относимся к каждому отзыву и обязательно разберёмся в данной ситуации.

Пожалуйста, свяжитесь с нашей службой поддержки любым удобным способом:
• По телефону: 7 (962) 559-29-48
• Через личные сообщения в нашем магазине

Благодарим за обратную связь - это помогает нам становиться лучше!
С уважением, Команда магазина MalDina.
Служба поддержки клиентов","просим всегда проверять все на ПВЗ, когда забираете товар. Делайте возврат по браку. Уважаемый покупатель!",,
,Попользовался несколько часов автомат перестал работать и внутри что то отвалилось автомат не ронял,"Здравствуйте, Борис!
Приносим извинения за некорректную работу автомата. То, что поломка произошла при обычном использовании (без падений), говорит о возможном производственном браке.
Для решения вопроса, пожалуйста, свяжитесь с нашей службой поддержки по What сап 7 (962) 559-29-48. Мы оперативно поможем решить проблему удобным для вас способом.
С уважением,
Команда магазина MalDina.",,,
,почему долго одобряют возврат,"менеджер, который занимается этим вопросом на больничном, поэтому время ожидания для рассмотрения этих вопросов увеличивается",,,
а корпус металлический или пластик?,,"Здравствуйте, уважаемый покупатель. благодарим вас за интерес к нашему магазину и ваш вопрос. используется качественный ударопрочный ABS-пластик, который соответствует всем стандартам безопасности для детских игрушек. Это не “дешевый” пластик, а специально подобранный материал, обеспечивающий оптимальное соотношение прочности и безопасности при игре.",,,
а какой артикул автомата,,"здравствуйте. артикул этого автомата ST709А, сделан специально под заказ на фабрике игрушек под брендом MalDina. мы работаем как первые поставщики, а не перекупщики. Ждем вас за покупками в нашем магазине. С наилучшими пожеланиями, Команда магазина MalDina.",,,
а автомата электро обойма?,,"здравствуйте. благодарим за вопрос. подгрузка орбизов из магазина осуществляется за счет механизма, который работает от аккумулятора автомата. Ждем вас за покупками в нашем магазине. С наилучшими пожеланиями, Команда магазина MalDina.",,,
На автомате можно выключить звук стрельбы?,,"Здравствуйте. Благодарим за вопрос. выключить звук невозможно. это модельное оружие, разработанное на основе стандартного реального оружия.  Инженеры разработали их как копии взрослых аналогов с шумовыми эффектами как у настоящего оружия",,,
"Материал дешёвый, проломлен корпус, оставил некритично. Стреляет недалеко. Цена явно завышена.",,"Искренне сожалеем, что автомат не оправдал ваших ожиданий. Очень огорчены, что оценили наш товар так низко. Хотим отметить несколько важных моментов: у нас одно из лучших качеств материала, замеры дальности тестировались сами, качество подтверждено многочисленными отзывами покупателей. Хотели вас попросить сделать фотографии автомата, точно ли наша модель вам пришла. Ждем от вас обратной связи. Свяжитесь пожалуйста с нашим чатом поддержки, посмотрите номер на инструкции или визитке  попробуем разобраться в причинах. С уважением, команда магазина MalDina",,,
,,,,,
,автомат синийМР9,,,,
"сколько орбизов вмещает резервуар идущий в комплекте, и где их можно носить с собой?",,"Здравствуйте, Ярослав. Благодарим вас за интерес к нашему бренду и ваш вопрос. в магазин (задняя ручка) помещается около 300-500 шт, верхний (квадратный) контейнер для орбиз вмещает около 400-600 шт. Ждем вас за покупками в нашем магазине. С наилучшими пожеланиями, Команда магазина MalDina.",,,
нужна зарядка для ружья с орбизами. Как можно заказать?,,"Здравствуйте. приносим извинения за долгое ожидание ответа. в ближайшее время комплектующие для этих автоматов поступят к нам в продажу и мы их отгрузим на ВБ. подписывайтесь на наш магазин, отслеживайте их поступление. если не сложно напомните нам после 23 февраля, сможем дать точный артикул или ссылку на карточку зарядки автоматов для этой модели",,,
гарит ли красный огонек на зарядке,,"благодарим молодой человек за ваш вопрос! в этой моделе зарядка будет светиться красным (как у вас). и после того, как свет зарядки исчезнет, зарядка будет завершена",,,
,,"Зарядное устройство USB для аккумуляторов 7,4 V разъем SM-4P 
https://wildberries.ru/catalog/268046424/detail.aspx ",,,
Здравствуйте. Нигде не вижу ограничений по возрасту ребёнка. Подскажите пожалуйста от скольки лет?,,"Здравствуйте! Спасибо за ваш вопрос. По техническим характеристикам данный орбизный автомат рекомендован для детей от 8 лет.
Однако при ответственном подходе и постоянном присутствии взрослых, можно рассмотреть возможность игры и с детьми более младшего возраста. Важно, чтобы ребенок понимал правила безопасности и мог правильно использовать защитные очки.",,,
"Здравствуйте, стрельба автоматическая?",,"Здравствуйте. да , в этой моделе стрельба автоматическая",,,
Сколько он весит,,"Данила, здравствуйте. вес 500гр",,,
Добрый день а автомат выстрелом лопнит надутый воздушный шарик?,,Здравствуйте. благодарим вас за интересен и ваш вопрос. На расстоянии 10-20м должен,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,автомат709А,,,,
здравствуйте когда стреляеш глушитель мигает и выпускает дым?,,"Здравствуйте, уважаемый покупатель. Благодарим за вопрос. Глушитель в этой моделе не мигает и нет дыма и огней, он вибрирует и автомат издает звуки выстрелов. Ждем вас за покупками в нашем магазине. С наилучшими пожеланиями, Команда магазина MalDina.",,,
,,,,,
,,,,,
,,,,,
,,,,,
,пистолет К0003,,,,
а у береты не нужно взводить затвор?,,"Здравствуйте, уважаемый покупатель. благодарим вас за вопрос и интерес к нашему товару. нет не надо. обратите внимание мы поставили видео в карточку товара и вы можете изучить как им пользоваться теперь гораздо лучше. Будем рады видеть вас в числе наших покупателей. С наилучшими пожеланиями, Команда магазина MalDina.",,,
,,,,,
,автомат 270-1,,,,
заряжается дуло и как светится,,"благодарим за обратную связь. поставьте дуло на зарядку, будет светиться красным огоньком. зарядка около 40 мин. как зарядится огонек погаснет. светится  дуло только при стрельбе, когда вылетают орбизы",,,
"Здравствуйте,купили у вас автомат,а пламегаситель больего диаметра,невозможно затянуть.",,"Здравствуйте, Виталий. Пожалуйста, свяжитесь с нами в чате поддержки по WhatsApp 7 (962) 559-29-48. глушитель надо раскрутить вначале, потом одеть до конца и закрутить хорошо.  пришлем вам видео как его надо одевать на автомат",,,
копеечка это какая батарейка,,"здравствуйте, уважаемый покупатель. батарейки для лазера красного и фонарика и прицела с зелеым стеклом необходим AG5. но они есть в комплекте. Ждём за новыми покупками, вам всегда рады. 
С наилучшими пожеланиями, Команда магазина MalDina.
",,,
Сколько шириной та часть куда цепляется прицел ?,,"Здравствуйте. ширина стандартная, 27мм",,,
,,,,,
,,,,,
,,,,,
,орбиболVECTOR,,,,
у него есть затвор с возвратным механизмом? (рычажок перезарядки),,"Здравствуйте. нет, в моделе нет зарядки патронов. нажимая на курок просто осуществляется выстрел",,,
"
Здравствуйте, автомат не стреляет, что не так делаем?",,"Здравствуйте. вы собрали его, подзарядили аккумулятор около 1,5Ч, вырастили орбизы до 6-8мм за 4 часа? надо прищёлкнуть  в магазине для орбиз кнопку, чтоб начали подаваться орбизки и перед стрельбой самой снять с предохранителя, красный рычажок выше курса",,,
,,,,,
,орбиболAK-47,,,,
купили автомат ак-47 на валберис. Перестал стрелять и заряжать пульки.,,"проверьте так же следующее
1.  проверьте обязательно крутится ли моторчик в магазине (передней ручке), там куда помещаете орбизки. снимите видео, на котором виден магазин с орбизами, чтобы проверить, работает ли мотор. видео неработающего механизма является подтверждение брака. 

отправим вам ссылку на сборку АК47
https://disk.yandex.ru/i/0UI7zKfldKxYnA 
проверьте все ли сделали верно.

2. еще попробуйте разобрать автомат, может там застряли орбизки, почистить его внутри
3. и обязательно заряжать аккумулятор перед игрой 1,5ч и растить орбизки. растить орбизки надо не менее 4 часов, полностью покрытые водой, до 6-8мм (они когда подсыхают то тоже застревают при стрельбе, их тогда следует залить водой и дорастить еще 2 ч)",,,
а какие детали сделаны из металла?,,"металлические: дуло, ствол
пластиковые: глушитель, магазин, рукоятка, приклад",,,
"Здравствуйте, возможно ли на АК-47 ставить какие либо обвесы ? Прицел, лазер, фонарь ?",,"Кронштейнов на нем нет, поэтому не получится доставить обвесы",,,
Затвор двигается во время стрельбы?,,"да, затвор двигается во время стрельбы",,,
Он настоящий,,"Здравствуйте. Да, настоящий игрушечный автомат с орбизами, скорострельный, с металлическими деталями, реалистичным звуком выстрела, подвижным затвором! Будем рады видеть вас в числе наших покупателей и в будущем. С уважением, команда MalDina",,,
Дальность полета по прямой или с учетом наклона ?,,"Здравствуйте, уважаемый покупатель. Дальность полета в этой модели 30-40 по прямой, под наклоном увеличивается еще 3-4м.  Будем рады видеть вас в числе наших покупателей и в будущем. С уважением, команда MalDina",,,
Здравствуйте! а отдача как у настоящего есть?,,"Здравствуйте. уважаемый покупатель. Это игрушечный автомат с орбизами, скорострельный, с металлическими деталями, реалистичным звуком выстрела и подвижным затвором, это не огнестрельное оружие, поэтому отдача небольшая. Будем рады видеть вас в числе наших покупателей и в будущем. С уважением, команда MalDina",,,
здравствуйте подскажите пожалуйста стреляет мощно может сломать руку или стекло,,"Здравствуйте. уважаемый покупатель. Спасибо за вопрос! Автоматы с орбизами специально разработаны как безопасное оружие. При попадании в твёрдую поверхность шарик просто лопается, оставляя мокрое пятно. Размер и материал орбизов делает их слишком мягкими для повреждения стекла или нанесения травм. Единственная важная рекомендация: используйте специальные очки для защиты глаз при игре. Будем рады видеть вас в числе наших покупателей и в будущем. С уважением, команда MalDina",,,
подскажите пожалуйста есть ль большая барабанная обойма,,здравствуйте. нет,,,
221011247 а эту насадку на АК 47 можно поставить,,можно поставить эту трассерную насадку страйкбол 14-CCW и 2 адаптер,,,
на ак 47 есть одиночная стрельба и автомочическая,,"да, в этой моделе есть и одиночная и очередью, об этом написано в слайдах",,,
"Пару дней пострелял а потом контакты разошлись, пришлось разбирать. Когда собрали стал как новенький",,"Нет, тут скорее всего про другие контакты идет речь - провода внутри, я бы написала что то вроде
Нам очень жаль, что вы столкнулись с проблемой в работе автомата.
Хотим заверить вас, что перед отгрузкой каждый товар проходит тщательную проверку качества. Мы уделяем особое внимание контролю сборки и тестированию всех механизмов. Рады что вам удалось решить возникшую проблему самостоятельно. Также напоминаем, что при обнаружении производственных дефектов мы обеспечиваем возврат товара по браку (тут как нибудь красивее надо сформулировать). Если у вас возникнут какие-либо вопросы по эксплуатации или обслуживанию товара, пожалуйста, обращайтесь к нам — мы всегда готовы помочь.",,,
,,,,,
,орбиболARP7,,,,
здравствуйте насколько точная стрельба?,,"здравствуйте. в этой моделе достаточно точная стрельба. очень высокий % попаданий и почти нет отклонений от цели. мы сами проводили тесты. стреляет на 20 метров, точно. но зависит от погодных условий может сильный ветер мешать и от умения самого стреляющего стрелять по цели",,,
здравствуйте можно узнать приклад можно регулировать по длине?,,"в этой модели нет регулировки приклада. обратите внимание на модель Артикул WB: 368176578, в ней есть возможность регулировки приклада с фиксацией. ",,,
,,,,,
,,,,,
,орбиболMK3,,,,
А на обойме есть кнопка которую нужно нажимать чтоб шары подавались?,,"Владимир, здравствуйте. надо снять затвор кнопка с одной стороны автомата, она находится на корпусе. затем поставить рычешок на стрельбу очередью или одиночными (с другой стороны автомата). если не получается что-то или есть вопросы. свяжитесь с нами в чате поддержки по What сап 7 (962) 559-29-48. отправим вам видео и ответим на все ваши вопросы",,,
здравствуйте можно узнать приклад можно регулировать по длине?,,"здравствуйте, Диомид. в этой модели есть регулировка приклада с фиксацией.",,,
,,,,,
,,,,,
,орбиболM4A1,,,,
ссылки на кабель зарядки аккумулятора M4A1 new,,https://global.wildberries.ru/catalog/183186358/detail.aspx?targetUrl=SG,,,
,,https://global.wildberries.ru/catalog/251637811/detail.aspx?targetUrl=SG,,,
,,,,,
,водныйМ505С,,,,
сильно протекает,,"Анна, здравствуйте. Благодарим вас за обратную связь. по любым возникающим вопросам всегда можете обратиться в наш чат поддержки 7 (962) 559-29-48.",,,
протекает пистолет,,"Здравствуйте, Мария. Благодарим за обратную связь. надо набирать не сильно опуская ног пистолета в воду, чтоб он набирал воду понемногу, потом не будет выливается во всех дурочек вода. или вы набираете разу из бутылки в бак? свяжитесь пожалуйста с нашим чатом поддержки в вот сап или напишите нам в чат покупателей на ВБ. попробуем разобраться почему протекает. С уважением, команда магазина MalDina",,,
,,,,,
,орбиболM416,,,,
здравствуйте а автомат 368181379 у него электрическая подача шаров ? или ручная ?,,"Здравствуйте, уважаемый покупатель. благодарим за вопрос. в этой моделе электрическая подача орбиз, с помощью электрического привода из магазина в ствол. Будем рады видеть вас в числе наших покупателей и в будущем. С уважением, команда MalDina",,,
,кабель зарядки аккумулятора М416new,https://global.wildberries.ru/catalog/459681027/detail.aspx?targetUrl=SG,"Премиум м4а1, ак-47, м416",,
